id,question,gold_answer,gold_aliases,matched_gold,pred_text,gen_text,em,contain,f1,cosine,confidence,mean_token_entropy,max_token_entropy,argmax_token_entropy,min_token_margin,argmin_token_margin,min_chosen_prob,argmin_chosen_prob,std_logp,std_logp_last_k,n_prompt_tokens,n_gen_tokens
1631,What is the first name of Ragnor’s brother in the historical drama television series ‘Vikings’?,Rollo,"['Gångerolf', 'Rollo', 'Rollo Ragnavaldson', 'Rollo of Rouen', 'Gongu-Hrolfr', 'Ganger Hrolf', 'Ganger Rolf', 'Rollo Rognvaldsson', 'Goengu-Hrolfr', 'Hrolf the ganger', 'Robert Rognvaldsson', 'Rollo, Count (or Duke) of Normandy', 'Rollo of Normandy', 'Göngu-Hrólfr', 'Gangerolf', 'Hrolf Ganger', 'Rolf the Granger', 'Rollo the Viking']",Rollo,Unknown,Unknown,0.0,0.0,0.0,0.3153397738933563,0.5151902809356126,1.5254656728357077,4.2164459228515625,0,0.04583333432674408,0,0.14656782150268555,0,0.8892968760673569,0.8892968760673569,81,3
285,"What were Benjy and Laska, which were sent into space in 1958?",Mice,"['🐁', 'Mouse subgenus', 'Reproductive behavior of mice', 'Mouse (animal)', 'MOUSE', 'Mouse (rodent)', '🐭', 'Mus (genus)', 'Mice', 'Mouse']",Mice,Unknown,Unknown,0.0,0.0,0.0,0.3029880225658417,0.6659467670845284,1.5061840812365215,4.184501647949219,0,0.19754166901111603,0,0.30700916051864624,0,0.5475383977920807,0.5475383977920807,78,3
1268,Limburger cheese is made from the milk of which animal?,Cow,"['🐄', 'Wild Bull', 'Moo unit', 'Cattle anatomy', 'Female cattle', 'Domesticated cattle', 'Domestic cow', ""Cow's size"", 'Empalo', 'Moo-cow', 'Bos taurus domesticus', '🐮', 'Moo cow', 'Domestic cattle', 'Bovine animal', 'Bos primigenius taurus', 'Cow', 'Bull-calf', 'Bos taurus', 'Beeves', 'Domestic Cattle', 'Anatomy of cattle', 'Cattle herding', 'Male cattle', 'Wild bull', 'B. taurus', 'Bos Taurus', 'Cattle slaughter', 'Cattle', 'Cows', 'Feral cattle']",Cows,Limburger cheese is made from the milk of cows.,Limburger cheese is made from the milk of cows.,0.0,1.0,0.2222222222222222,0.43922537565231323,0.9039651209730841,0.28745491710807464,1.276239037513733,0,0.05998066067695618,7,0.510460376739502,7,0.1858687094910607,0.029879098718470012,70,14
747,"In Greek mythology, Tiresias disclosed the crimes of who?",Oedipus,"['Oedepus', 'Œdipus', 'Oidipous', 'Edipus', 'Oedipus', 'Oedipe', 'OEdipus']",Oedipus,Zeus,Zeus,0.0,0.0,0.0,0.43018320202827454,0.47029583156763927,1.7702114515316982,3.3155410289764404,0,0.1302041858434677,0,0.2618914842605591,0,0.5595335718139811,0.5595335718139811,73,3
390,"Apart from being warm blooded and giving birth to live young, what do mammals produce to differentiate them from other families of animals?",Milk,"['Whole Milk', 'Dudh', 'Reduced fat milk', 'Cow milk', 'Homogenized Milk', 'Cows’ milk', 'Bovine milk', 'Liquid Milk', 'Sweet milk', 'Dairy milk', 'Low fat milk', 'Milk proteins', 'Milker', 'Whole milk', 'Homo milk', 'Milk solids', 'Milk jugs', 'Breakfast milk', 'Cow’s milk', 'Milk protein', 'Milk (drink)', 'Benefits of Drinking Milk', 'Walrus milk', 'Sterilized milk', 'Milk jug', 'Food milk', 'Lowfat milk', 'Gyunyu', 'Homogenized milk', 'Mammal milk', 'Low-fat milk', ""Cow's milk"", 'Liquid milk', 'Milk (beverage)', 'Reduced-fat milk', 'Milk']",Milk,Milk,Milk,1.0,1.0,1.0,1.0,0.49048844952789167,1.6055439325670402,2.6655471324920654,0,0.04752516746520996,2,0.32854217290878296,2,0.5046973904657247,0.5046973904657247,87,3
166,South Pacific was set during which war?,WWII,"['The Second world war', 'WorldWar2', 'WW2', 'Second World war', 'WwII', 'War World Two', 'World War II', 'Second Great War', 'The 2nd World War', 'WW-II', '2nd world war', 'World War two', 'The second world war', 'The second great war', 'World war 2', 'Ww2', 'The Origins and Commencement of World War II', 'World War ll', 'WW II', 'Second World War', 'World-War II', 'W.W.2', 'WarII', 'War World II', 'War World 2', 'World War 2', 'World War II countries and Leaders', 'The Second World War', 'World war ii', 'Countries in the Second World War', 'Second World War: The History and the Events', 'World war II', 'WWII', 'Second world War', ""Ww2'"", 'Wwii', 'Nazi occupation', 'World War, 1939-1945', 'Second World Wars', 'WWTWO', '2nd World War', 'II World War', 'W.W. II', 'World War ii', 'World War Ⅱ', 'WW-2', '2w2', 'Second world war', 'World war two', 'IIWW', 'W.W.II', 'World War II/Infobox', 'Segunda Guerra Mundial', 'WW 2', 'WW@', 'Word war II', 'Guerre mondiale II', '2nd World war', 'World War II/Edited Text', 'World War Two']",World War II,World War II,World War II,1.0,1.0,1.0,1.0000001192092896,0.8973570777945378,0.4331621663295664,1.4484288692474365,0,0.5754548013210297,0,0.6796883940696716,0,0.1609363475705459,0.1609363475705459,65,4
656,Captain Corelli's mandolin is a book a film set in which country,Greece,"['Yunanistan', 'Griekenland', 'Hellenic republic', 'Elláda', 'Graecia', 'The Hellenic Republic', 'Ελλάς', 'Eládha', 'Yananistan', 'Republic of Greece', 'Elliniki Dimokratía', 'Picki u dusa', 'République hellénique', 'Social issues in Greece', 'Hellas', 'Hellenic Republic', 'Republique hellenique', 'Eladha', 'Ελλάδα', 'Grèce', 'Elliniki Dimokratia', 'Greece', 'Temporary Government of National Defence', 'Griechenland', 'Grcija', 'Ellada', 'Hellada', 'Greek Republic', 'Grece', 'Ελληνική Δημοκρατία', 'Grcka', 'Political history of Greece', 'Ellīnikī́ Dīmokratía', 'Macedonian Greece', 'History of North Greece', 'ISO 3166-1:GR', 'Grecce', 'Elás', 'Hellás', 'Ελλας', 'Greek law (Hellenic Republic)']",Greece,Italy,Italy,0.0,0.0,0.0,0.6752094626426697,0.8716650879468373,0.7017211765050888,1.1522644758224487,0,0.7381699532270432,0,0.7939112782478333,0,0.0934335496276617,0.0934335496276617,73,2
260,"Which common mineral is used to make casts, moulds, blackboard chalk and plaster of Paris?",Gypsum,"['CaSO4·2H2O', 'Gypsum', 'Calcium sulfate dihydrate', 'CaSO4*2H2O', 'Gipsum']",Calcium sulfate dihydrate,Calcium sulfate,Calcium sulfate,0.0,0.0,0.8,0.8601139783859253,0.7668377882321732,0.6352354096805877,2.3869192600250244,0,0.07020959258079529,6,0.42065057158470154,0,0.34052065031372475,0.2702980351742036,82,7
1863,What bird did Good Queen Bess decree should be eaten at Christmas?,GOOSE,"['GOOSE', 'Generic Substation Events', 'GSE (Generic Substation Events)']",GOOSE,unknown,unknown,0.0,0.0,0.0,0.2697053849697113,0.5214027727606138,2.027810089290142,3.8959574699401855,0,0.1993967816233635,0,0.2794647812843323,0,0.6236465191468596,0.6236465191468596,73,2
1115,The chemical compound Thujone is best known for being present in which alcoholic drink?,Absinthe,"['Abasinthe', 'Absinthe', 'Abstinthe', 'Green fairy', 'Apsinth', 'Absinthisme', 'Absenta', 'Apsenth', 'Absinthism', 'Absenthe', 'Green Fairy', 'Absinth', 'La fee verte']",Absinthe,Absinthe,Absinthe,1.0,1.0,1.0,1.0,0.9654097550555079,0.2614951453397225,0.6473509073257446,0,0.8967399094253778,0,0.9119480848312378,0,0.03840794856042031,0.03840794856042031,77,4
